"","Date"
"1","1996/1/31"
"2","1996/2/29"
"3","1996/3/31"
"4","1996/4/30"
"5","1996/5/31"
"6","1996/6/30"
"7","1996/7/31"
"8","1996/8/31"
"9","1996/9/30"
"10","1996/10/31"
"11","1996/11/30"
"12","1996/12/31"
"13","1997/1/31"
"14","1997/2/28"
"15","1997/3/31"
"16","1997/4/30"
"17","1997/5/31"
"18","1997/6/30"
"19","1997/7/31"
"20","1997/8/31"
"21","1997/9/30"
"22","1997/10/31"
"23","1997/11/30"
"24","1997/12/31"
"25","1998/1/31"
"26","1998/2/28"
"27","1998/3/31"
"28","1998/4/30"
"29","1998/5/31"
"30","1998/6/30"
"31","1998/7/31"
"32","1998/8/31"
"33","1998/9/30"
"34","1998/10/31"
"35","1998/11/30"
"36","1998/12/31"
"37","1999/1/31"
"38","1999/2/28"
"39","1999/3/31"
"40","1999/4/30"
"41","1999/5/31"
"42","1999/6/30"
"43","1999/7/31"
"44","1999/8/31"
"45","1999/9/30"
"46","1999/10/31"
"47","1999/11/30"
"48","1999/12/31"
"49","2000/1/31"
"50","2000/2/29"
"51","2000/3/31"
"52","2000/4/30"
"53","2000/5/31"
"54","2000/6/30"
"55","2000/7/31"
"56","2000/8/31"
"57","2000/9/30"
"58","2000/10/31"
"59","2000/11/30"
"60","2000/12/31"
"61","2001/1/31"
"62","2001/2/28"
"63","2001/3/31"
"64","2001/4/30"
"65","2001/5/31"
"66","2001/6/30"
"67","2001/7/31"
"68","2001/8/31"
"69","2001/9/30"
"70","2001/10/31"
"71","2001/11/30"
"72","2001/12/31"
"73","2002/1/31"
"74","2002/2/28"
"75","2002/3/31"
"76","2002/4/30"
"77","2002/5/31"
"78","2002/6/30"
"79","2002/7/31"
"80","2002/8/31"
"81","2002/9/30"
"82","2002/10/31"
"83","2002/11/30"
"84","2002/12/31"
"85","2003/1/31"
"86","2003/2/28"
"87","2003/3/31"
"88","2003/4/30"
"89","2003/5/31"
"90","2003/6/30"
"91","2003/7/31"
"92","2003/8/31"
"93","2003/9/30"
"94","2003/10/31"
"95","2003/11/30"
"96","2003/12/31"
"97","2004/1/31"
"98","2004/2/29"
"99","2004/3/31"
"100","2004/4/30"
"101","2004/5/31"
"102","2004/6/30"
"103","2004/7/31"
"104","2004/8/31"
"105","2004/9/30"
"106","2004/10/31"
"107","2004/11/30"
"108","2004/12/31"
"109","2005/1/31"
"110","2005/2/28"
"111","2005/3/31"
"112","2005/4/30"
"113","2005/5/31"
"114","2005/6/30"
"115","2005/7/31"
"116","2005/8/31"
"117","2005/9/30"
"118","2005/10/31"
"119","2005/11/30"
"120","2005/12/31"
"121","2006/1/31"
"122","2006/2/28"
"123","2006/3/31"
"124","2006/4/30"
"125","2006/5/31"
"126","2006/6/30"
"127","2006/7/31"
"128","2006/8/31"
"129","2006/9/30"
"130","2006/10/31"
"131","2006/11/30"
"132","2006/12/31"
"133","2007/1/31"
"134","2007/2/28"
"135","2007/3/31"
"136","2007/4/30"
"137","2007/5/31"
"138","2007/6/30"
"139","2007/7/31"
"140","2007/8/31"
"141","2007/9/30"
"142","2007/10/31"
"143","2007/11/30"
"144","2007/12/31"
"145","2008/1/31"
"146","2008/2/29"
"147","2008/3/31"
"148","2008/4/30"
"149","2008/5/31"
"150","2008/6/30"
"151","2008/7/31"
"152","2008/8/31"
"153","2008/9/30"
"154","2008/10/31"
"155","2008/11/30"
"156","2008/12/31"
"157","2009/1/31"
"158","2009/2/28"
"159","2009/3/31"
"160","2009/4/30"
"161","2009/5/31"
"162","2009/6/30"
"163","2009/7/31"
"164","2009/8/31"
"165","2009/9/30"
"166","2009/10/31"
"167","2009/11/30"
"168","2009/12/31"
"169","2010/1/31"
"170","2010/2/28"
"171","2010/3/31"
"172","2010/4/30"
"173","2010/5/31"
"174","2010/6/30"
"175","2010/7/31"
"176","2010/8/31"
"177","2010/9/30"
"178","2010/10/31"
"179","2010/11/30"
"180","2010/12/31"
"181","2011/1/31"
"182","2011/2/28"
"183","2011/3/31"
"184","2011/4/30"
"185","2011/5/31"
"186","2011/6/30"
"187","2011/7/31"
"188","2011/8/31"
"189","2011/9/30"
"190","2011/10/31"
